id,pop,lat,lon,treat,species
JRN137-2,Blue Mtns,#N/A,#N/A,Herb ,Prostanthera sp. Blue Mtns
RLP122-2,Sherwood NR,-30.026375,153.011981,Freeze ,Prostanthera lanceolata
RLP158d-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
RLP107-2,Tamborine,-27.94054,153.1962,Freeze ,Prostanthera lanceolata
RLP155c-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
JJB3563-2,NENP,-30.5765,152.3322,Freeze ,Prostanthera lanceolata
RLP195b-2,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera ovalifolia
RLP200b-2,Mt Stanley,-24.196768,151.366141,Freeze ,Prostanthera ovalifolia
JJB3540a-2,Girraween,#N/A,#N/A,Si gel ,Prostanthera petraea
RLP113-2,Minyon Falls,-28.612264,153.389762,Freeze ,Prostanthera lanceolata
RLP188f-2,Mt Maria,-24.543864,151.843848,Freeze ,Prostanthera ovalifolia
IRT13512-2,Tapin Tops,#N/A,#N/A,Herb ,Prostanthera latifolia
RLP158-2,Bees Nest Ridge,-32.78802,151.171696,Freeze ,Prostanthera cineolifera
LMC3770-2,Mt Marsh,-29.3375,152.8167,Herb ,Prostanthera sp. Mt Marsh
NJS424-2,Tapin Tops,#N/A,#N/A,Herb ,Prostanthera latifolia
JJB3542-2,Middle Brother Mtn NP,-31.703,152.684,Freeze ,Prostanthera lanceolata
